region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Wales,2020-10-24,,estimate,-0.014,-0.02,0.042,-0.095,-0.046,-0.025,-0.004,0.011,0.037
Wales,2020-10-25,,estimate,-0.014,-0.02,0.042,-0.095,-0.046,-0.025,-0.004,0.011,0.037
Wales,2020-10-26,,estimate,-0.014,-0.02,0.042,-0.095,-0.046,-0.025,-0.004,0.011,0.037
Wales,2020-10-27,,estimate,-0.014,-0.02,0.042,-0.095,-0.046,-0.025,-0.004,0.011,0.037
Wales,2020-10-28,,estimate based on partial data,-0.014,-0.02,0.042,-0.095,-0.046,-0.025,-0.004,0.011,0.037
Wales,2020-10-29,,estimate based on partial data,-0.014,-0.02,0.042,-0.095,-0.046,-0.025,-0.004,0.011,0.037
Wales,2020-10-30,,estimate based on partial data,-0.014,-0.02,0.042,-0.095,-0.046,-0.025,-0.004,0.011,0.037
Wales,2020-10-31,,estimate based on partial data,-0.014,-0.02,0.042,-0.095,-0.046,-0.025,-0.004,0.011,0.037
Wales,2020-11-01,,estimate based on partial data,-0.014,-0.02,0.042,-0.095,-0.046,-0.025,-0.004,0.011,0.037
Wales,2020-11-02,,estimate based on partial data,-0.014,-0.02,0.042,-0.095,-0.046,-0.025,-0.004,0.011,0.037
Wales,2020-11-03,,estimate based on partial data,-0.014,-0.02,0.042,-0.095,-0.046,-0.025,-0.004,0.011,0.037
Wales,2020-11-04,,estimate based on partial data,-0.014,-0.02,0.042,-0.095,-0.046,-0.025,-0.004,0.011,0.037
Wales,2020-11-05,,estimate based on partial data,-0.014,-0.02,0.042,-0.095,-0.046,-0.025,-0.004,0.011,0.037
Wales,2020-11-06,,estimate based on partial data,-0.014,-0.02,0.042,-0.095,-0.046,-0.025,-0.004,0.011,0.037
Wales,2020-11-07,,estimate based on partial data,-0.014,-0.02,0.042,-0.095,-0.046,-0.025,-0.004,0.011,0.037
Wales,2020-11-08,,estimate based on partial data,-0.014,-0.02,0.042,-0.095,-0.046,-0.025,-0.004,0.011,0.037
Wales,2020-11-09,,estimate based on partial data,-0.014,-0.02,0.042,-0.095,-0.046,-0.025,-0.004,0.011,0.037
Wales,2020-11-10,,estimate based on partial data,-0.014,-0.02,0.042,-0.095,-0.046,-0.025,-0.004,0.011,0.037
Wales,2020-11-11,,estimate based on partial data,-0.014,-0.02,0.042,-0.095,-0.046,-0.025,-0.004,0.011,0.037
Wales,2020-11-12,,estimate based on partial data,-0.014,-0.02,0.042,-0.095,-0.046,-0.025,-0.004,0.011,0.037
Wales,2020-11-13,,estimate based on partial data,-0.014,-0.02,0.042,-0.095,-0.046,-0.025,-0.004,0.011,0.037
Wales,2020-11-14,,estimate based on partial data,-0.014,-0.02,0.042,-0.095,-0.046,-0.025,-0.004,0.011,0.037
Wales,2020-11-15,,estimate based on partial data,-0.014,-0.02,0.042,-0.095,-0.046,-0.025,-0.004,0.011,0.037
Wales,2020-11-16,,estimate based on partial data,-0.014,-0.02,0.042,-0.095,-0.046,-0.025,-0.004,0.011,0.037
Northern Ireland,2020-10-16,,estimate,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
Northern Ireland,2020-10-17,,estimate,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
Northern Ireland,2020-10-18,,estimate,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
Northern Ireland,2020-10-19,,estimate,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
Northern Ireland,2020-10-20,,estimate,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
Northern Ireland,2020-10-21,,estimate,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
Northern Ireland,2020-10-22,,estimate,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
Northern Ireland,2020-10-23,,estimate,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
Northern Ireland,2020-10-24,,estimate,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
Northern Ireland,2020-10-25,,estimate,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
Northern Ireland,2020-10-26,,estimate,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
Northern Ireland,2020-10-27,,estimate,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
Northern Ireland,2020-10-28,,estimate based on partial data,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
Northern Ireland,2020-10-29,,estimate based on partial data,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
Northern Ireland,2020-10-30,,estimate based on partial data,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
Northern Ireland,2020-10-31,,estimate based on partial data,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
Northern Ireland,2020-11-01,,estimate based on partial data,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
Northern Ireland,2020-11-02,,estimate based on partial data,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
Northern Ireland,2020-11-03,,estimate based on partial data,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
Northern Ireland,2020-11-04,,estimate based on partial data,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
Northern Ireland,2020-11-05,,estimate based on partial data,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
Northern Ireland,2020-11-06,,estimate based on partial data,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
Northern Ireland,2020-11-07,,estimate based on partial data,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
Northern Ireland,2020-11-08,,estimate based on partial data,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
Northern Ireland,2020-11-09,,estimate based on partial data,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
Northern Ireland,2020-11-10,,estimate based on partial data,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
Northern Ireland,2020-11-11,,estimate based on partial data,-0.001,-0.002,0.027,-0.048,-0.019,-0.007,0.006,0.017,0.04
