region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
South West,2020-10-04,,estimate,386,389,59,298,347,372,402,426,490
Northern Ireland,2020-11-15,,estimate based on partial data,392,395,61,303,353,376,406,433,502
Northern Ireland,2020-11-14,,estimate based on partial data,423,427,66,327,382,408,438,469,543
Northern Ireland,2020-11-08,,estimate based on partial data,474,478,71,367,429,459,492,523,601
South West,2020-10-11,,estimate,489,495,73,384,446,473,507,540,622
Northern Ireland,2020-11-16,,estimate based on partial data,491,496,75,381,445,472,510,544,626
Northern Ireland,2020-11-13,,estimate based on partial data,495,499,76,379,448,477,515,546,627
South West,2020-10-10,,estimate,503,507,77,390,455,485,522,554,641
Northern Ireland,2020-11-07,,estimate based on partial data,512,516,77,399,464,494,533,563,646
Wales,2020-11-15,,estimate based on partial data,533,537,77,419,484,515,552,583,666
Wales,2020-11-14,,estimate based on partial data,555,559,77,440,506,536,575,608,691
Northern Ireland,2020-11-12,,estimate based on partial data,557,562,83,433,505,537,580,614,704
Northern Ireland,2020-11-01,,estimate,565,571,84,443,514,546,587,624,717
Northern Ireland,2020-11-11,,estimate based on partial data,591,596,89,458,534,568,611,650,755
Northern Ireland,2020-11-09,,estimate based on partial data,595,600,86,466,540,575,616,655,749
Northern Ireland,2020-11-06,,estimate based on partial data,595,601,87,467,542,576,616,652,747
Northern Ireland,2020-11-10,,estimate based on partial data,609,615,93,474,551,587,632,671,780
Wales,2020-10-10,,estimate,611,615,86,486,557,589,631,665,763
Northern Ireland,2020-10-31,,estimate,614,620,92,478,558,592,637,678,775
Wales,2020-10-11,,estimate,621,626,88,491,567,601,642,679,779
South West,2020-10-18,,estimate,631,636,92,493,573,610,654,694,790
South West,2020-10-17,,estimate,640,645,93,498,581,617,663,704,808
South West,2020-10-09,,estimate,647,652,96,503,587,624,671,712,816
Northern Ireland,2020-11-05,,estimate,669,674,98,523,607,646,693,735,842
Northern Ireland,2020-10-25,,estimate,672,677,100,522,608,647,695,740,843
South West,2020-10-05,,estimate,677,683,102,528,611,652,700,747,859
South West,2020-10-06,,estimate,688,694,104,533,625,666,711,760,876
Wales,2020-11-16,,estimate based on partial data,695,702,99,550,635,673,718,762,879
South West,2020-10-08,,estimate,704,709,106,545,635,678,730,775,892
Wales,2020-11-08,,estimate based on partial data,706,710,95,562,644,681,730,772,871
Wales,2020-10-05,,estimate,706,711,100,554,640,682,733,774,881
Northern Ireland,2020-11-04,,estimate,714,717,104,551,646,688,739,783,893
South West,2020-10-07,,estimate,717,722,107,555,650,690,743,788,906
Northern Ireland,2020-11-02,,estimate,718,723,104,564,651,690,743,788,902
Northern Ireland,2020-10-30,,estimate,720,724,106,554,652,696,746,791,906
